"respondent_id","report_yr","report_prd","spplmnt_num","row_num","lambda_calc_desc","lambda_calc_desc_plain","lambda_calc_desc_f"
178,2006,12,0,100,,"System Lambda is determined by simultaneously solving incremental cost equations for each unit.  Incremental cost equations are based on the first derivative of the Input/Output equation or heat rate.  Coefficients in incremental cost equations are determined by two methods dependent on plant ownership.  The Coefficients for utility owned plants are based on heat rate test data.  Coefficients for independently owned units are based on fuel, variable O&M, and fixed O&M as stated in contract.
",0
244,2006,12,0,100,,"The economic dispatch routine of the Energy Cost Reconstruction program uses an equal incremental cost scheme where lambda is the cost of the next megawatt to be loaded.  The system lambda is computed using the hourly average system loads.  Fuel and O&M costs are included in this calculation.  Valley unit incremental prices are calculated using the natural gas price for each specific day.  The Coronado Generating Station incremental price is based on the price of P&M supplemental coal with the effect of the sliding scale credit.",0
133,2006,12,0,100,,"CHUGACH ELECTRIC ASSOCIATION, INC.
ANCHORAGE, AK

ECONOMIC DISPATCH WITH MULTIPLE FUEL PRICES

FUNCTIONAL DESCRIPTION

The proposed Economic Dispatch software enhancement is designed to provide the capability for Chugach to economically dispatch their generation subject to these additional constraints:

	When gas flow at Beluga exceeds a specified amount, all additional gas is provided at a different price from the base load gas.  

	Dispatch power for incremental sales to GVEA on top of Chugach generation at a different price from the Chugach fuel price. 

IMPLEMENTATION

The new Economic Dispatch uses the existing algorithm, as described in the attached appendix, to perform the basic dispatch.  However, the overall economic dispatch is now performed in three passes.  These three passes are designated Base dispatch, Secondary dispatch and GVEA dispatch.  The sequence of calculation is given below:

Base Dispatch

Set load to actual load less the GVEA load.  Use actual unit limits and the base fuel price.

Dispatch the generation to meet the load.
     
Secondary Dispatch

	If Beluga gas exceeds the base gas consumption limit:

Dispatch to the base gas limit

Set the low limits to the dispatched unit outputs.  Use the secondary fuel prices.

Dispatch the generation to meet the load.

GVEA DISPATCH

Set load to actual load, including the GVEA load.  Set the low limits to the dispatched unit outputs.  Use the GVEA fuel prices.

Dispatch the generation to meet the load.

METHOD OF CALCULATION

The coordination equations to be solved by EDC are:

(CJ * df/dpj + Imj) * PFj = LAMBDA

Where:  Cj	     = Fuel cost for the jth unit.

             dfj/dpj         = Incremental heat rate for the jth unit.

             IMj               = Incremental maintenance cost for the jth unit.

             PFj               = Penalty Factor for the jth unit.
                                     Used to bias entire unit cost.

             LAMBDA     = Incremental cost of supplying power to a hypothetical load center of the 
                                      area.

In addition to the coordination equations, the following power balance equation must be satisfied:

SUM OF    Basepoints of                                                             
                   dispatched                        =  SUM OF                    Actual generation of dispatched 
                   generation                                                                units (at beginning of dispatch)
                   (at end of dispatch)


                                               + SUM OF                     rate-limited difference between
                                                                                      base points and current generation  
                                                                                      of units on ramp, base load, or base
                                                                                      load and regulating


                                                + DG
",0
216,2006,12,0,100,,"	Northern States Power (NSP) is a member of the Midwest ISO (MISO)
and the Midwest market. Within the Midwest market the members get all their
generation dispatch instructions from the MISO Unit Dispatch System (UDS)
on a 5-minute basis. Within the UDS there is a constrained economic
dispatch program to economically dispatch the generation plus solve for congestion.",0
277,2006,12,0,100,,"    

    The Energy Management System of Western Farmers Electric Cooperative performs economic dispatch such that all the controllable units are loaded at the same incremental cost if feasible.  System Lambda is calculated every EDC cycle, but the Hourly System Lambda's are not recorded on the Energy Management System.  An after-the-fact production cost simulation program is used to derive the Hourly System Lambda based on hourly unit loading.  The unit of System Lambda is in dollars per megawatthour.

     The file being submitted consists of 8761 records.  The first record contains the WFEC control area name and the time zone (Central Prevailing).  Each of the remaining 8760 records contain Lambda and the associated time stamp (i.e. Hour, Month, Day, and Year).  Western Farmers Electric Cooperative Control Area is in the Central Prevailing time zone.  Due to the design of the production cost simulation software, one extra hour of System Lambda is generated on the short day on April 2, 2006 and one hour of System Lambda is omitted on the long day on October 29, 2006.",0
142,2006,12,0,100,,"The Cleco Power LLC System Incremental Cost (“CPIC”) shall be determined to be the cost to provide the next megawatt of energy after all load responsibility within Cleco Power’s Control Area is satisfied. 
Procedure:
The analysis consists of evaluating the actual hourly balancing area energy requirements and its corresponding purchases and generation dispatch so that the sum is zero.  Once this requirement is met, an additional energy requirement of 1 MWh is analyzed.  Gentrader, Power Cost Incorporated optimization and economic dispatch algorithm software, is loaded with the actual hourly balancing area energy requirements and its corresponding purchases and generation dispatch values to determine the incremental costs of the next megawatt hour. Corresponding fuel costs which include generator specific natural gas delivered costs and monthly solid fuel costs are included in the analysis.  The incremental heat rate curve for each generator is utilized so that the cost produced depends on the hourly efficiency and operating level of the generator.  ",0
122,2006,12,0,100,,"Pt II, Sch 6:  BPA is a hydro-based system and does not compute system lambdas.  We manage a large inter-linked federal hydro system, controlled by water storage releases, with a limited amount of non-federal base-loaded thermal resources.  Our responsibilities are to ensure adequate, reliable, efficient, and economical power supply, provide transmission access with a high degree of safety and reliability, and preserve and balance economic and environmental benefits of the federal Columbia River power system.  The Columbia River system was developed and is operated for flood control, navigation, irrigation, municipal and industrial water supply, recreation, fish and wildlife, and power production.  Generation is largely driven by the need to move water for non-power purposes.",0
201,2006,12,0,100,,"N/A",0
257,2006,12,0,100,,"",0
119,2006,12,0,100,,"Hydro power is the foundation of Avista's electric generating system, a system lambda is not calculated. In Avista's Balancing Authority area demand is not followed using thermal generating resources. Thermal generating resources are dispatched on a base load basis.",0
195,2006,12,0,100,,"Check ID: 900

LEPA does not calculate the system lambda cost using the EMS system.  Gas flow measuring devices are not installed for real time generation costing in order for a real time lambda to be calculated. Operators use Excel spreadsheets to calculate the cost of avoiding generations cost and schedule economic energy when available/possible to reduce the higher cost of internal generation.

Ecomonic Dispatch is done manually.",0
219,2006,12,0,100,,"The Ohio Valley Electric Corporation (OVEC) supplies power, at energy cost, to the 15 investor-owned electric utility companies that own OVEC.  Consequently, the generating units are operated at or near full load because of OVEC's low production costs, thus system lambda is not utilized by OVEC since that information is inconsequential to power transactions made by OVEC.",0
193,2006,12,0,100,,"The Lincoln Electric System (LES) is a Balancing Authority Area located in Lancaster County in Nebraska. LES serves the city of Lincoln and outlying areas. The Balancing Authority Area size is about 200 sq. miles. LES is summer peaking, with peaks approaching 800MW. LES is a municipal, and owned by the city of Lincoln. LES participates in four coal fired plants outside of the LES Balancing Authority Area. These units are brought into the service area via static tagged schedules. LES can schedule up to 177MW from these four units at an energy charge of $12/MWh or less. LES also owns a 178MW share of coal fired plant outside of the Balancing Authority Area that is statically scheduled at an energy cost of about $11/MWh.  LES also owns a 100MW share of a coal fired plant outside the service area that is delivered via pseudo tie with an energy cost of under $12/MWh. LES output of these resources are based on a percent of available generation with minimum and maximum requirements. In addition LES has two long term firm contracts for energy from network resources outside the Balancing Authority Area for a total of about 128MW. One of these schedules is delivered via dynamic scheduling, and is taken load pattern. 
LES owns approximately 435MW of gas/oil fired generation inside of the LES Balancing Authority Area. About 300MW of this total are simple cycle combustion turbines. The rest is a combination of simple cycle or combined cycle aero driven turbines that can be configured to operate in either mode.
Once an hour by hour load curve has been created for the target date, the base load and contractual resources are loaded in. Since all base load generation is at or below $12/MWh, all units are loaded in at maximum LES shares for all hours. Any surplus generation is sold in the interconnection if conditions permit. If not, the highest cost base load resource is backed down until scheduled resources = scheduled load. Any additional resource requirements are supplied (in order) from the combined cycle aero units, simple cycle aero, simple cycle combustion turbines based on the price of natural gas, OR, pool purchases if the market price is below the LES cost of internal generation. LES gas contracts are such that we can make these decisions on a real-time hour by hour basis as well as day in advance, and adjust internal generation so that LES can take advantage of market conditions. 
",0
259,2006,12,0,100,,"The data submitted by respondent is an hourly average of the System Control lambda as calculated by the Energy Management System used by Southwestern Public Service.  This is a representation of the average incremental cost of the units that are on automatic generation control for the Southwestern Public Service system.",0
233,2006,12,0,100,,"Description of Economic Dispatch

Calculation of System lambda

The goal of economic dispatch is to make the Area Control Error (ACE) zero at the lowest total cost.  For a given system generation requirement, the cheapest operating point occurs where the incremental power cost (lambda) for each controllable unit are equal.  The mathematical derivation proving the merits of equal lambda dispatch may be found in most power system analysis text books.  The controller must therefore be able to find the right system lambda and the desired generation of each unit at that lambda.

Equal lambda dispatch at Progress Energy Carolinas is achieved with the use of unit incremental heat rate curves, fuel costs and penalty factors for transmission losses.  The incremental cost curve for each generating unit is the product of the incremental heat rate curve multiplied by the unit fuel cost and adjusted by the penalty factor to account for transmission losses.  While attempting to maintain an ACE of zero, thus serving load commitments, each unit’s incremental cost curve is set equal to the system incremental cost (lambda) to determine unit output (MW).  As load increases and ACE moves in the positive direction, a new system lambda is selected in an effort to match generation with load.  An iterative process of selecting lambda and determining unit output until ACE is brought to zero is employed constantly on the Energy Management System.  As load diminishes and ACE moves in the negative direction, again, a new system lambda is selected and unit incremental cost curves evaluated to match generation with load.
",0
134,2006,12,0,100,,"Dispatch instructions are calculated and sent to us by the Midwest ISO, using their algorithms.",0
253,2006,12,0,100,,"
The Southern Company system lambda is determined hourly and is based on the variable costs of the resources that serve the load obligations of the Operating Companies plus any sales to third parties.  The variable costs of the resources include the components listed below, and may also reflect the cost of purchases.  The economic dispatch formula used to dispatch Southern’s generating resources on the basis of their variable cost componentsis as follows:


l  =  [ { (  2aP + b ) * ( FC + EC ) } + VOM + FH ] * TPF

	Where:
	l  	= System lambda
	a, b	= Incremental heat rate coefficients
	P	= Generation level
	FC	= Marginal replacement fuel costs
	EC	= Marginal replacement emission allowance costs
	VOM	= Variable operations and maintenance expenses
	FH	= In-plant fuel handling expenses
	TPF	= Incremental transmission losses (penalty factors)
",0
103,2006,12,0,100,,"Yadkin does not use economic dispatch as all units are hydro. Generation pattern is dictated by water flows and units are dispatched according to the most efficent use of the water resources. Yadkin native load is approximately 1.5 - 2 MW (excluding losses).",0
172,2006,12,0,100,,"     Gainesville Regional Utilities uses the GE Generation and Dispatch Control (GDC) Software to capture lambda data when criteria data is available from the units which are running in an economic mode. Economic mode refers to when demand following is performed by thermal generating unit(s).  The system lambda is derived from the economic dispatch function associated with automatic generation control performed at our operating control center.  Excluding transmission loses, the fuel cost ($/hr) for a set of on-line and loaded thermal generating units (steam and gas turbines) is minimum 1) when each unit is loaded and operating at the same inceremental fuel cost ($/MWh) and 2) with the sum of the unit loadings (MW) equal to the system demand plus the net of interchange with other balancing authority areas.  This single incremental cost of energy is the system lambda.",0
101,2006,12,0,100,,"Alabama Electric Cooperative's lambda is calculated by an Economic Dispatch function utilizing the principle that the most economic operation of a given combination of generating units is obtained when the incremental cost of delivered power is the same for all dispatched units.  This is commonly referred to as the ""equal incremental cost criterion"" and is derived from a Graphical Lagrangian Approach.  This technique uses each unit's incremental production cost curve in coordination with computed penalty factors to determine the optimum economic loading of dispatchable on-line units.  A system incremental cost curve is calculated to relate system cost, lambda ($MWH), to required generation (MW).  This cost curve is computed using the unit's incremental heat rate (IHR) curves, fuel costs, operations and maintenance, efficiency factors, and incremental transmission losses.  System lambda only includes the incremental costs of units under Automatic Generation Control (AGC).",0
118,2006,12,0,100,,"A System Lambda parameter is not recorded on Associated Electric Cooperative Inc.’s energy management system.  Associated uses hydro generation for load following during most on-peak hours and also has fuel constraints associated with fifty percent of the thermal generating capacity.  The System Lambda derived from the economic dispatch function has no significance during many hours of the year since it only calculates the incremental cost of the unit or units on load control (not all of the units).

Control Area resources are economically dispatched, taking into account fuel constraints, fuel costs, unit heat rates and variable O&M costs.",0
140,2006,12,0,100,,"Description of Economic Dispatch:

The GE  XA/21  EMS uses the optimization Method of ""Lagrange Multipliers"" to solve the Economic Dispatch problem.

The Lambda calaculation is displayed as the real-time system incremental cost ($/MWH) at the optimum unit basepoint solution from the Economic Dispatch and is updated in real-time every 8 seconds and may be averaged across the hour.



",0
121,2006,12,0,100,,"",0
197,2006,12,0,100,,"Each value of system lambda, i.e. the incremental cost of delivered power, in the data attached is calculated by the electric load dispatch computer for those units which are under economic dispatch and control and is based on the average cost of all fuel (including transportation and handling) of each type (coal, gas, or oil) purchased during the preceding month.

The values of system lambda do not include incremental operation and maintenance expenses.",0
226,2006,12,0,100,,"An economic dispatch computer program is run periodically to indicate to the load dispatcher economic unit loading. The generator cost curves are represented by third degree polynominals. Transmission losses are included in the dispatch by using fixed penalty factors. This process is only used for economic selection of which generator to provide real time regulation service. The economic generation schedules are determined by the Midwest Independent System Operator (MISO) Unit Dispatch System (UDS) on a five minute basis under the terms of the MISO Transmission and Energy Markets Tariff.

All of the larger Otter Tail Power generating units can be used for load frequency control and may be loaded at a point other than economic. This occurs when the rate of change of the load is greater than the allowable rate of change on the units used for load frequency control.

The limits for each unit are updated by the load dispatcher on the basis of current information from the plant operators. An average value for coal energy content is used in calculating the fuel cost for each unit. These costs are updated as coal and shipping charges change.",0
188,2006,12,0,100,,"The system lamda is an instantaneous snapshot at the top of each hour.  It is the cost of the last megawatt used to serve KCPL's load and sale committments, which can be supplied by either internal generation or purchased power.

Beginning February 1, 2007, SPP started in the energy imbalance market and generators bid into the market.  SPP's model performs the economic dispatch.

",0
238,2006,12,0,100,,"Our control area hourly system lambda was ""N/A"" for all hours during calendar 2006.

Demand following for our control area is dispatched according to the capability of a single dispatchable resource (Wells Hydroelectric Project), and therefore does not involve an economic dispatch algorithm.",0
236,2006,12,0,100,,"Public Service Company of New Mexico (PNM)
Description of PNM Balancing Authority Economic Dispatch
Per Instructions on Part II - Schedule 6

PNM Balancing Authority Economic Dispatch

Since there are no agreements for PNM economic dispatch of non-PNM generation resources within the PNM Balancing Authority, each utility within the PNM Balancing Authority independently performs economic dispatch of their own generation resources.  The majority of PNM Balancing Authority generation resources belong to PNM.  PNM generation resources are economically dispatched as follows:

 1.  PNM Palo Verde nuclear generation is the lowest cost PNM generation resource.  It is also very undesirable to curtail Palo Verde nuclear generation from a plant operations perspective.  Therefore, PNM Palo Verde generation is always run at its full capability. 

2.  PNM Four Corners generation is usually PNM's second lowest cost generation resource.  It is typically fully loaded, except when PNM load commitments are so low that Four Corners generation must be curtailed in order to keep the PNM Area Control Error at zero.  On occasion, when San Juan is lightly loaded, its incremental cost is less than Four Corners.  In those instances Four Corners generation is economically curtailed.

3.  PNM San Juan generation is typically the next lowest cost PNM generation resource.  That generation is on Automatic Generation Control to follow swings in PNM area control error (ACE).   PNM ownership of San Juan units is spread over four units.  PNM's Energy Management System (EMS) is equipped with an economic dispatch function.  

4.  PNM has a purchase from Southwestern Public Service Co. (SPS) that has an energy price, which varies on a monthly basis.  That energy price is historically above the San Juan incremental energy generation cost.

5.  PNM owns one third of the Luna Energy Facility.  This is a two on one combined cycle gas unit with an optimum heat rate of 7,200.  The Luna unit is on Automatic Generation Control (AGC) and is dispatched on an economic basis after the SPS contract.  

6. Lordsburg Generating Station is a gas only turbine located in southern New Mexico, owned and operated by PNM.  It is started for load or for spinning reserves resources, provided transmission is purchased to the delivery point, and for energy sales, if its operating costs are within the range of spot market costs.

7.  PNM Reeves  is a gas plant located in Albuquerque.  It is started for load, for spinning reserves resources, for loadside used for transmission support, and for energy sales, if its operating costs are within the range of spot market costs.

8.  Delta-Person is a gas/oil plant located in Albuquerque.  Its total output is purchased by PNM and is dispatched economically, usually after Reeves generation. When on line, Delta-Person is on Automatic Generation Control to follow swings in PNM area control error (ACE).  It is started for load or for loadside used for transmission support.

9.  Afton Generating Station is a gas/oil plant located in southern New Mexico, owned and operated by PNM, and is dispatched economically, usually after Delta-Person generation.

10.  Additional generation resources include PNM Las Vegas Combustion Turbine generation and PNM purchases from other utilities.


PNM System Lambda Calculation

Since PNM is not able to economically dispatch non-PNM Balancing Authority generation resources, the System Lambda calculation only includes PNM generation resources.  If generation resources having an incremental fuel cost less than the calculated San Juan lambda are being curtailed, the PNM Real Time Power Trader manually schedules the lower cost resource to replace the higher lambda San Juan resource.  The calculated San Juan lambda value is manually replaced with the lower value.  If the PNM San Juan generation resource is fully scheduled, except for unloaded capacity needed for regulation and spinning reserves, and PNM is using generation resources having a higher incremental fuel cost (such as purchased energy with a higher cost than the San Juan lambda), the PNM Real Time Power Trader replaces the previously calculated lambda value with the cost of the next incremental generation resource available to PNM.
",0
248,2006,12,0,100,,"The Economic Dispatch (ED) function uses economic operating characteristics of generation resources to determine optimized cost-related operational base points.  Economic unit parameters, while generally expressed in terms of thermal resources, are generalized to accommodate any type by providing the equivalent information.",0
170,2006,12,0,100,,"",0
125,2006,12,0,100,,"The CAISO operates its control area through forward energy schedules and the operation of an imbalance energy market, plus reserve/ancillary service markets (to cover generation and transmission contingencies).  Suppliers provide the CAISO real-time energy bids that are used by the CAISO to match supply and demand every 5 minutes in a least cost manner.  Because energy bids do not necessarily reflect system marginal costs, the CAISO does not have true system lambda information.  Therefore, the CAISO will not be submitting system lambda data as part of this FERC 714 filing.  Though not a true system lambda, historical real-time energy price information is available on the CAISO's OASIS website at http://oasis.caiso.com, under ""Real Time Information"".
",0
229,2006,12,0,100,,"",0
228,2006,12,0,100,,"",0
307,2006,12,0,100,,"",0
144,2006,12,0,100,,"To Whom It May Concern:
                          The Columbia Water & Light Department is a municipal electric and water utility serving a control area with approximately 43,000 customers including some small industry.
 System Lambda data is not calculated nor used in the operation of this control area.
 The Columbia Water and Light Department does not have equipment or the resources to collect this data.
 There are not any plans to install a system at this time.                ",0
198,2006,12,0,100,,"Midwest ISO performs the economic dispatch.",0
273,2006,12,0,100,,"The LSEs have different resource mixes that include mostly thermal generation.  Most of the LSEs have their own minimal-cost operating algorithm used for economic dispach of their own resources.  These algorithms generaally include some market mechanism for replacing natirve resources when market prices are less.  Thus, economic idspatch is generally the common goal, but at the LSE level, rather than the Balancing Authority level.  ",0
107,2006,12,0,100,,"System lambda ceased to be calculated or used for unit dispatch after the inception of the MISO LMP market on April 01, 2005. Dispatch since April 01, 2005 has been a market dispatch performed by MISO. No system lambda is available for 2006.  ",0
109,2006,12,0,100,,"System lambda ceased to be calculated or used for unit dispatch after the inception of the MISP LMP market on April 01, 2005.  Dispatch since April 01, 2005, has been a market dispatch performed by MISO,  No system lambda is available for 2006.",0
108,2006,12,0,100,,"System lambda ceased to be calculated or used for unit dispatch after the inception of the MISO LMP market on April 01, 2005.  Dispatch since April 01, 2005 has been a market dispatch performed by MISO. No system lambda is available for 2006.  ",0
272,2006,12,0,100,,"	
Balancing Authority Area System Lambda Data - We do not calculate or assign a system Lambda to our Hydro Units.

Each day we are given a total release requirement for each of the Corp of Engineers (COE) and Bureau of Reclamation
hydro plants.  We have the ability to schedule hourly releases at these plants while adhering to the individual plant
operating orders that are in place for environmental or operational considerations.  We strive to hit the individual plant 
releases target numbers.  The COE does give us plus or minus tolerances for each of the plant target numbers.  We can
deviate by the tolerance amounts to meet our loads.  These releases are set to keep the river system reservoirs in a 	balanced condition.


Note for page 7:  Load following done by the hydro units.  

Note for page 9:  Hourly demand and forecast data is WAPA's data only.  
	",0
275,2006,12,0,100,,"
Balancing Authority Area System Lambda Data - We do not calculate or assign a system Lambda to our Hydro Units.

Each day we are given a total release requirement for each of the Corp of Engineers (COE) and Bureau of Reclamation hydro plants.  We have the ability to schedule hourly releases at these plants while adhering to the individual plant operating orders that are in place for environmental or operational considerations.  We strive to hit the individual plant release target numbers.  The COE does give us plus or minus tolerances for each of the plant target numbers.  We can deviate by the tolerance amounts to meet our loads.  These releases are set to keep the river system reservoirs in a balanced condition.

Note for page 7:  Load following done by the hydro units.

Note for page 9:  Hourly demand and forecast data is WAPA's data only.",0
232,2006,12,0,100,,"Control Area Hourly System Lambda

PGE does not use an economic dispatch algorithm for demand following. PGE’s control area uses hydroelectric generating units for demand following. The following discussion describes PGE’s 2006 control area resources and how it dispatches them to meet its control area demand.

PGE’s Resources

PGE control area resources include: eight wholly owned hydroelectric generating plants, the purchase of the output of four hydroelectric generating plants, two jointly owned coal-fired generating plants, two wholly owned combined cycle combustion turbine plants, one PURPA contract thermal generating plant, one PURPA contract hydroelectric generating plant, three non-PURPA contract hydroelectric generating plants and one non-utility thermal generating plant.

Dispatch of PGE’s Resources

Demand following is accomplished by sending the AGC signal either directly to the one of the units of PGE’s Round Butte hydroelectric generating plant or to the control center which coordinates the operation of PGE’s four purchased hydroelectric generating plants. This control center coordinates the operation of several hydroelectric generating plants for the plant owners and purchasers.

The individual units of the remaining seven of PGE’s wholly owned and three non-PURPA hydroelectric generating plants are typically block loaded subject to river flow, reservoir elevation, unit availability, license constraints and the regional coordination of hydroelectric plant operation.

PGE also block loads the individual units of its thermal generating plants subject to unit availability and energy market conditions. Since block load operation is considered the most efficient mode of operation for these plants they do not receive an automatic generation control (AGC) signal. The block loading of these thermal generating plants depends upon a number of factors including: the cost and availability of fuel, the availability of PGE’s and regional hydroelectric generating plants, the energy market and the terms of the joint operating agreements. 

System Lambda

PGE does not calculate a system lambda because demand following is not performed by thermal generating units.
",0
250,2006,12,0,100,,"Description of Economic Dispatch:  South Carolina Electric & Gas Company's generating units are dispatched by System Control Dispatchers using Automatic Generation Control and Economic Dispatch functions on the Energy Management System.  Economic Dispatch calculates system Lambda as part of the optimal allocation of generation among committed units to minimize production cost.  It finds an interactive solution using the method of LaGrange multiplier.	",0
187,2006,12,0,100,,"The System is economically dipatched by NERC Certified System Operators using generator cost curves against current fuel prices and market purchases.",0
149,2006,12,0,100,,"


						PART II – SCHEDULE 6



 

The following information is found in the functional specification of the DPC Energy Management System and describes system Lambda:




         3.1.3.3	Updating Lambda

This subfunction computes a new value for the temporary Lambda value if the old value did not result in convergence.  The new value is computed by adding an increment to the old value.  The increment can be either positive or negative and is based on the sum of the inverse of the slopes of the unit Incremental Cost Curves at the dispatch point of the last iteration.  

DELTA = 
GTBD - MWT


 S
     1
PFi* Mi


for all units
on iterative
dispatch but
not in limit(a)

 

Where:	DELTA  =	   Lamda increment ($/MWHR)
	MWT     =	   Sum of temporary EAG for units at last iteration (MW)
	PFi         	=	   Unit’s penalty factor
	Mi          =	   Slope of Incremental Cost Curve for unit at last iteration’s
                                       dispatch point ($/MWHR-MW)


(a)NOTE:  A unit is considered to be “in limit” if it cannot further contribute to the dispatch because the value assigned to it during the last iteration was constrained by its economic limit.


 ",0
155,2006,12,0,100,,"",0
156,2006,12,0,100,,"",0
